iter	Logloss
0	0.646024594
1	0.6020397928
2	0.5579025321
3	0.5162105964
4	0.482476512
5	0.4494625997
6	0.4211384747
7	0.3939350592
8	0.3697489862
9	0.3470957805
10	0.3251154841
11	0.3058039395
12	0.287920254
13	0.2737947869
14	0.2593140884
15	0.2479545443
16	0.234432739
17	0.2233834138
18	0.2124388525
19	0.2017976945
20	0.1933124384
21	0.1857926795
22	0.1788115343
23	0.1721038478
24	0.1648594102
25	0.1590713849
26	0.1534348569
27	0.148774241
28	0.1435746699
29	0.1384867546
30	0.1346719267
31	0.1309074066
32	0.1274919586
33	0.1239954617
34	0.1218048427
35	0.1187641739
36	0.1154518367
37	0.1130325598
38	0.1108858877
39	0.1082563034
40	0.1059930228
41	0.1040449386
42	0.1020634326
43	0.1001668145
44	0.09868720199
45	0.09694190812
46	0.09526113539
47	0.09353961839
48	0.09159054319
49	0.09008984491
50	0.0887921757
51	0.08749666823
52	0.08630804733
53	0.08499442617
54	0.08385064753
55	0.08260932131
56	0.08162648932
57	0.08040047324
58	0.07933749854
59	0.07847280174
60	0.07761007555
61	0.07678300674
62	0.07608834269
63	0.07528146599
64	0.07435065612
65	0.07349329846
66	0.07269710941
67	0.07210400837
68	0.07148321778
69	0.07088085983
70	0.07027154427
71	0.0697179048
72	0.06907594017
73	0.06846279148
74	0.06790012776
75	0.06730707239
76	0.066862091
77	0.06628526486
78	0.06591959831
79	0.06546399464
80	0.06484071055
81	0.06447756428
82	0.06411726671
83	0.06368507363
84	0.06320244639
85	0.06277977084
86	0.06244715239
87	0.06195741704
88	0.06146367218
89	0.06105616622
90	0.06073328908
91	0.06023240736
92	0.05995419617
93	0.05963347399
94	0.05920062603
95	0.05893163455
96	0.05864788306
97	0.05806519128
98	0.05763976901
99	0.05729990302
100	0.05692179659
101	0.05659825139
102	0.0561648003
103	0.05596160534
104	0.05569224621
105	0.0554149571
106	0.05504386862
107	0.05468476866
108	0.05437007534
109	0.05396869858
110	0.05374811453
111	0.05347084113
112	0.05316315562
113	0.05288334934
114	0.05257346643
115	0.05233919963
116	0.05203321552
117	0.05170586575
118	0.05143288698
119	0.05114343996
120	0.05097447777
121	0.05079250337
122	0.05059702414
123	0.05041635123
124	0.0500597844
125	0.04972943254
126	0.04966345368
127	0.04952849109
128	0.049349646
129	0.04908737154
130	0.04891006897
131	0.04869968044
132	0.04845158995
133	0.04822980588
134	0.04799131065
135	0.04766099083
136	0.04738374745
137	0.04723668041
138	0.04693492853
139	0.04670646643
140	0.04654863943
141	0.04638764926
142	0.04622001679
143	0.04603094314
144	0.04587383178
145	0.04571950988
146	0.04550046448
147	0.04534451837
148	0.04516764039
149	0.04495277055
150	0.04469956621
151	0.04439484298
152	0.04425033717
153	0.04405726869
154	0.04392223169
155	0.04377877872
156	0.04360159862
157	0.04345259117
158	0.04322025948
159	0.04304735695
160	0.04294547234
161	0.04274551468
162	0.04258513488
163	0.04245230737
164	0.04229611605
165	0.04214038406
166	0.04198108527
167	0.04176903974
168	0.04168914562
169	0.04156036357
170	0.04137582572
171	0.04119494853
172	0.04102521987
173	0.04091613246
174	0.04074196676
175	0.04063618688
176	0.04052643141
177	0.0404353413
178	0.040294249
179	0.04019345083
180	0.04006184729
181	0.03997988962
182	0.03984806901
183	0.03978608266
184	0.03971996574
185	0.03954111907
186	0.03942708031
187	0.0393356152
188	0.03922415155
189	0.03905576602
190	0.03895375034
191	0.03883431657
192	0.03871936291
193	0.03855068302
194	0.0383007547
195	0.03821477824
196	0.03812025284
197	0.03805374905
198	0.0379753991
199	0.03789657196
200	0.03780185834
201	0.03754083082
202	0.03747034795
203	0.03740319321
204	0.03730245934
205	0.03723400724
206	0.03706967798
207	0.03694947966
208	0.03680603387
209	0.03671591551
210	0.03663187005
211	0.03659534095
212	0.03655221672
