iter	Passed	Remaining
422	2210	3015
423	2215	3009
424	2220	3004
425	2224	2997
426	2229	2991
427	2234	2986
428	2239	2980
429	2243	2974
430	2248	2968
431	2254	2963
432	2258	2957
433	2262	2951
434	2271	2950
435	2278	2947
436	2284	2943
437	2289	2938
438	2294	2932
439	2299	2927
440	2304	2921
441	2308	2914
442	2313	2909
443	2318	2903
444	2323	2897
445	2327	2890
446	2332	2885
447	2337	2879
448	2341	2873
449	2346	2868
450	2351	2862
451	2356	2856
452	2360	2850
453	2365	2845
454	2370	2838
455	2374	2832
456	2379	2827
457	2385	2822
458	2390	2817
459	2395	2811
460	2400	2806
461	2404	2799
462	2408	2793
463	2414	2789
464	2418	2782
465	2422	2776
466	2427	2770
467	2432	2765
468	2437	2759
469	2441	2753
470	2447	2748
471	2451	2742
472	2455	2736
473	2461	2730
474	2465	2725
475	2470	2719
476	2474	2713
477	2480	2709
478	2485	2703
479	2490	2697
480	2497	2694
481	2503	2690
482	2508	2685
483	2513	2680
484	2518	2674
485	2522	2668
486	2528	2663
487	2534	2658
488	2539	2653
489	2547	2651
490	2555	2649
491	2565	2648
492	2571	2644
493	2578	2641
494	2583	2636
495	2589	2631
496	2596	2627
497	2603	2624
498	2610	2621
499	2616	2616
500	2621	2610
501	2627	2606
502	2633	2601
503	2639	2597
504	2645	2593
505	2650	2587
506	2656	2583
507	2666	2582
508	2677	2582
509	2682	2577
510	2688	2573
511	2693	2566
512	2698	2561
513	2704	2556
514	2710	2552
515	2715	2547
516	2722	2543
517	2728	2538
518	2734	2534
519	2740	2529
520	2745	2524
521	2751	2519
522	2757	2514
523	2762	2509
524	2768	2504
525	2774	2500
526	2779	2494
527	2786	2490
528	2791	2485
529	2796	2479
530	2802	2475
531	2809	2471
532	2814	2466
533	2820	2461
534	2824	2455
535	2829	2449
536	2834	2444
537	2839	2438
538	2843	2432
539	2848	2426
540	2853	2420
541	2857	2415
542	2862	2408
543	2867	2403
544	2872	2397
545	2876	2391
546	2881	2386
547	2886	2381
548	2892	2376
549	2898	2371
550	2904	2366
551	2909	2361
552	2915	2356
553	2921	2351
554	2925	2345
555	2931	2340
556	2936	2335
557	2940	2329
558	2945	2323
559	2950	2318
560	2954	2312
561	2958	2306
562	2964	2301
563	2969	2295
564	2973	2289
565	2978	2283
566	2983	2278
567	2988	2272
568	2992	2266
569	2998	2261
570	3002	2255
571	3006	2249
572	3012	2244
573	3017	2239
574	3022	2233
575	3027	2228
576	3032	2223
577	3036	2217
578	3041	2211
579	3046	2206
580	3051	2200
581	3055	2194
582	3061	2190
583	3070	2187
584	3079	2184
585	3085	2179
586	3089	2173
587	3095	2168
588	3099	2162
589	3103	2156
590	3109	2151
591	3114	2146
592	3119	2141
593	3124	2135
594	3130	2130
595	3135	2125
596	3140	2119
597	3144	2114
598	3149	2108
599	3153	2102
600	3159	2097
601	3163	2091
602	3168	2085
603	3173	2080
604	3178	2075
605	3182	2069
606	3187	2063
607	3192	2058
608	3197	2052
609	3201	2046
610	3207	2041
611	3213	2037
612	3218	2031
613	3223	2026
614	3228	2021
615	3233	2015
616	3238	2010
617	3243	2004
618	3247	1999
619	3252	1993
620	3257	1988
621	3262	1982
622	3266	1976
623	3272	1971
624	3276	1966
625	3281	1960
626	3286	1955
627	3291	1949
628	3295	1943
629	3299	1938
630	3305	1933
631	3310	1927
632	3314	1921
633	3320	1916
634	3325	1911
635	3330	1906
636	3336	1901
637	3340	1895
638	3345	1889
639	3350	1884
640	3355	1879
641	3359	1873
642	3364	1867
643	3370	1863
644	3374	1857
645	3378	1851
646	3383	1846
647	3388	1840
648	3393	1835
649	3397	1829
650	3403	1824
651	3409	1819
652	3414	1814
653	3421	1810
654	3428	1805
655	3436	1801
656	3441	1796
657	3447	1791
658	3454	1787
659	3461	1782
660	3469	1779
661	3480	1777
662	3489	1773
663	3494	1768
664	3502	1764
665	3507	1759
666	3514	1754
667	3519	1749
668	3524	1743
669	3529	1738
670	3536	1733
671	3542	1728
672	3548	1724
673	3554	1719
674	3558	1713
675	3565	1708
676	3569	1703
677	3574	1697
